"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"wikipathways_Arabidopsis_thaliana_metabolites.rda","Metabolite names linked to Wikipathways Arabidopsis thaliana pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Arabidopsis thaliana","3702",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Arabidopsis_thaliana_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Hordeum_vulgare_metabolites.rda","Metabolite names linked to Wikipathways Hordeum vulgare pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Hordeum vulgare","4513",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Hordeum_vulgare_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Bacillus_subtilis_metabolites.rda","Metabolite names linked to Wikipathways Bacillus subtilis pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Bacillus subtilis","1423",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Bacillus_subtilis_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Caulobacter_vibrioides_metabolites.rda","Metabolite names linked to Wikipathways Caulobacter vibrioides pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Caulobacter vibrioides","155892",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Caulobacter_vibrioides_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Caenorhabditis_elegans_metabolites.rda","Metabolite names linked to Wikipathways Caenorhabditis elegans pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Caenorhabditis elegans","6239",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Caenorhabditis_elegans_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Gallus_gallus_metabolites.rda","Metabolite names linked to Wikipathways Gallus gallus pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Gallus gallus","9031",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Gallus_gallus_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Pan_troglodytes_metabolites.rda","Metabolite names linked to Wikipathways Pan troglodytes pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Pan troglodytes","9598",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Pan_troglodytes_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Bos_taurus_metabolites.rda","Metabolite names linked to Wikipathways Bos taurus pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Bos taurus","9913",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Bos_taurus_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Canis_familiaris_metabolites.rda","Metabolite names linked to Wikipathways Canis familiaris pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Canis familiaris","9615",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Canis_familiaris_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Escherichia_coli_metabolites.rda","Metabolite names linked to Wikipathways Escherichia coli pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Escherichia coli","562",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Escherichia_coli_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Drosophila_melanogaster_metabolites.rda","Metabolite names linked to Wikipathways Drosophila melanogaster pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Drosophila melanogaster","7227",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Drosophila_melanogaster_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Gibberella_zeae_metabolites.rda","Metabolite names linked to Wikipathways Gibberella zeae pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Gibberella zeae","5518",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Gibberella_zeae_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Equus_caballus_metabolites.rda","Metabolite names linked to Wikipathways Equus caballus pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Equus caballus","9796",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Equus_caballus_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Homo_sapiens_metabolites.rda","Metabolite names linked to Wikipathways Homo sapiens pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Homo sapiens","9606",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Homo_sapiens_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Oryza_sativa_metabolites.rda","Metabolite names linked to Wikipathways Oryza sativa pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Oryza sativa","4530",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Oryza_sativa_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Zea_mays_metabolites.rda","Metabolite names linked to Wikipathways Zea mays pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Zea mays","4577",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Zea_mays_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Plasmodium_falciparum_metabolites.rda","Metabolite names linked to Wikipathways Plasmodium falciparum pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Plasmodium falciparum","5833",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Plasmodium_falciparum_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Anopheles_gambiae_metabolites.rda","Metabolite names linked to Wikipathways Anopheles gambiae pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Anopheles gambiae","7165",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Anopheles_gambiae_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Mus_musculus_metabolites.rda","Metabolite names linked to Wikipathways Mus musculus pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Mus musculus","10090",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Mus_musculus_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Mycobacterium_tuberculosis_metabolites.rda","Metabolite names linked to Wikipathways Mycobacterium tuberculosis pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Mycobacterium tuberculosis","1773",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Mycobacterium_tuberculosis_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Sus_scrofa_metabolites.rda","Metabolite names linked to Wikipathways Sus scrofa pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Sus scrofa","9823",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Sus_scrofa_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Populus_trichocarpa_metabolites.rda","Metabolite names linked to Wikipathways Populus trichocarpa pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Populus trichocarpa","3694",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Populus_trichocarpa_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
"wikipathways_Rattus_norvegicus_metabolites.rda","Metabolite names linked to Wikipathways Rattus norvegicus pathways (includes HMDB, KEGG, ChEBI, Drugbank, PubChem compound, ChemSpider, KNApSAcK, and Wikidata IDs + CAS + InChI Key)","3.21",NA,"XML","https://data.wikipathways.org/20250610/gpml/","Jun 10 2025","Rattus norvegicus","10116",NA,"WikiPathways","Kozo Nishida <kozo.nishida@gmail.com>","Tibble","Rda","AHWikipathwaysDbs/wikipathways_Rattus_norvegicus_metabolites.rda","Pathways:metabolites:HMDB:KEGG:ChEBI:Drugbank:CAS:ChemSpider"
